product_master_id,artist_id,artist_name,product_id,product_name,version_id,version_name,member_id,member_name,card_type,card_detail,release_date,visual_features,front_image_url,back_image_url
PM00147,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000004,JUN,photocard,photocard,2017/11/06,,,
PM00148,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000005,HOSHI,photocard,photocard,2017/11/06,,,
PM00149,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000006,WONWOO,photocard,photocard,2017/11/06,,,
PM00150,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000007,WOOZI,photocard,photocard,2017/11/06,,,
PM00151,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000008,THE 8,photocard,photocard,2017/11/06,,,
PM00152,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000009,MINGYU,photocard,photocard,2017/11/06,,,
PM00153,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000010,DK,photocard,photocard,2017/11/06,,,
PM00154,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000011,SEUNGKWAN,photocard,photocard,2017/11/06,,,
PM00155,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000012,VERNON,photocard,photocard,2017/11/06,,,
PM00156,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000013,DINO,photocard,photocard,2017/11/06,,,
PM00157,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000001,S.COUPS,photocard,photocard,2017/11/06,,,
PM00158,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000002,JEONGHAN,photocard,photocard,2017/11/06,,,
PM00159,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000003,JOSHUA,photocard,photocard,2017/11/06,,,
PM00160,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000004,JUN,photocard,photocard,2017/11/06,,,
PM00161,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000005,HOSHI,photocard,photocard,2017/11/06,,,
PM00162,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000006,WONWOO,photocard,photocard,2017/11/06,,,
PM00163,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000007,WOOZI,photocard,photocard,2017/11/06,,,
PM00164,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000008,THE 8,photocard,photocard,2017/11/06,,,
PM00165,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000009,MINGYU,photocard,photocard,2017/11/06,,,
PM00166,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000010,DK,photocard,photocard,2017/11/06,,,
PM00167,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000011,SEUNGKWAN,photocard,photocard,2017/11/06,,,
PM00168,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000012,VERNON,photocard,photocard,2017/11/06,,,
PM00169,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_03,orange,A000013,DINO,photocard,photocard,2017/11/06,,,
PM00170,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_04,rq&s,A000001,S.COUPS,photocard,photocard,2017/11/06,,,
PM00171,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_04,rq&s,A000002,JEONGHAN,photocard,photocard,2017/11/06,,,
PM00172,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_04,rq&s,A000003,JOSHUA,photocard,photocard,2017/11/06,,,
PM00173,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_04,rq&s,A000004,JUN,photocard,photocard,2017/11/06,,,
PM00174,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_04,rq&s,A000005,HOSHI,photocard,photocard,2017/11/06,,,
